nom_poisson,rarete,liens,type_poisson
Poisson arc-en-ciel,Peu Commun,https://margxt.fr/wp-content/uploads/2020/03/rainbow-fish.png,poisson
Poisson chirurgien,Rare,https://margxt.fr/wp-content/uploads/2020/03/surgeonfish.png,poisson
Poisson docteur,Rare,https://margxt.fr/wp-content/uploads/2020/03/nibble-fish.png,poisson
Poisson lanterne,Rare,https://margxt.fr/wp-content/uploads/2020/03/football-fish.png,poisson
Poisson rouge,Peu Commun,https://margxt.fr/wp-content/uploads/2020/03/goldfish.png,poisson
Poisson-ange,Rare,https://margxt.fr/wp-content/uploads/2020/03/angelfish.png,poisson
Poisson-ballon,Rare,https://margxt.fr/wp-content/uploads/2020/03/blowfish.png,poisson
Poisson-clown,Peu Commun,https://margxt.fr/wp-content/uploads/2020/03/clown-fish.png,poisson
Poisson-papillon,Peu Commun,https://margxt.fr/wp-content/uploads/2020/03/butterfly-fish.png,poisson
Poisson porc-épic,Peu Commun,https://margxt.fr/wp-content/uploads/2020/03/puffer-fish.png,poisson
Poisson-ruban,Rare,https://margxt.fr/wp-content/uploads/2020/03/oarfish.png,poisson
Poisson-scorpion,Peu Commun,https://margxt.fr/wp-content/uploads/2020/03/zebra-turkeyfish.png,poisson
Raie,Rare,https://margxt.fr/wp-content/uploads/2020/03/ray.png,poisson
Ranchu,Rare,https://margxt.fr/wp-content/uploads/2020/03/ranchu-goldfish.png,poisson
Rémora rayé,Rare,https://margxt.fr/wp-content/uploads/2020/03/suckerfish.png,poisson
Requin marteau,Très Rare,https://margxt.fr/wp-content/uploads/2020/03/hammerhead-shark.png,poisson
Requin scie,Rare,https://margxt.fr/wp-content/uploads/2020/03/FishNokogirizame.png,poisson
Requin-baleine,Rare,https://margxt.fr/wp-content/uploads/2020/03/FishJinbeezame.png,poisson
Saumon,Peu Commun,https://margxt.fr/wp-content/uploads/2020/03/salmon.png,poisson
Saumon masou,Rare,https://margxt.fr/wp-content/uploads/2020/03/cherry-salmon.png,poisson
Saumon roi,Peu Commun,https://margxt.fr/wp-content/uploads/2020/03/king-salmon.png,poisson
Ishidai,Peu Commun,https://margxt.fr/wp-content/uploads/2020/03/barred-knifejaw.png,poisson
Silure,Peu Commun,https://margxt.fr/wp-content/uploads/2020/03/catfish.png,poisson
Têtard,Peu Commun,https://margxt.fr/wp-content/uploads/2020/03/tadpole.png,poisson
Tête-de-serpent,Très Rare,https://margxt.fr/wp-content/uploads/2020/03/giant-snakehead.png,poisson
Thon,Très Rare,https://margxt.fr/wp-content/uploads/2020/03/tuna.png,poisson
Tilapia,Peu Commun,https://margxt.fr/wp-content/uploads/2020/03/tilapia.png,poisson
Tortue serpentine,Rare,https://margxt.fr/wp-content/uploads/2020/03/snapping-turtle.png,poisson
Tortue trionyx,Rare,https://margxt.fr/wp-content/uploads/2020/03/soft-shelled-turtle.png,poisson
Truite dorée,Très Rare,https://margxt.fr/wp-content/uploads/2020/03/golden-trout.png,poisson
Vandoise,Commun,https://margxt.fr/wp-content/uploads/2020/03/dace.png,poisson
Vivaneau,Peu Commun,https://margxt.fr/wp-content/uploads/2020/03/red-snapper.png,poisson
Requin Boobs,Mythique,https://assets-global.website-files.com/654d689b9d4206ba7d90fbee/6568ea2127e4347591fb0b0b_shark_boobs.jpg,infamie
pneu,Malus,https://dodo.ac/np/images/7/77/Old_Tire_NH_Icon.png,poubelle
